angle	angular error	rotation error
0.36	-5.92	-0.2
		
0.36	-5.92	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.37	-5.91	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.38	-5.9	-0.2
		
0.39	-5.9	-0.2
		
0.39	-5.9	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.39	-5.89	-0.2
		
0.4	-5.89	-0.2
		
0.4	-5.88	-0.2
		
0.4	-5.88	-0.2
		
0.4	-5.88	-0.2
		
0.41	-5.88	-0.2
		
0.41	-5.88	-0.2
		
0.41	-5.88	-0.2
		
0.41	-5.88	-0.2
		
0.41	-5.88	-0.2
		
0.41	-5.88	-0.2
		
0.41	-5.87	-0.2
		
0.41	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.42	-5.87	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.86	-0.2
		
0.43	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.85	-0.2
		
0.44	-5.84	-0.2
		
0.44	-5.84	-0.2
		
0.45	-5.84	-0.2
		
0.45	-5.84	-0.2
		
0.45	-5.84	-0.2
		
0.45	-5.84	-0.2
		
0.45	-5.83	-0.2
		
0.45	-5.83	-0.2
		
0.45	-5.83	-0.2
		
0.45	-5.83	-0.2
		
0.45	-5.83	-0.2
		
0.46	-5.83	-0.2
		
0.46	-5.83	-0.2
		
0.46	-5.83	-0.2
		
0.46	-5.83	-0.2
		
0.46	-5.82	-0.2
		
0.46	-5.82	-0.2
		
0.46	-5.82	-0.2
		
0.46	-5.82	-0.2
		
0.46	-5.82	-0.2
		
0.47	-5.82	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.47	-5.81	-0.2
		
0.48	-5.81	-0.2
		
0.48	-5.81	-0.2
		
0.48	-5.81	-0.2
		
0.48	-5.8	-0.2
		
0.48	-5.8	-0.2
		
0.48	-5.8	-0.2
		
0.48	-5.8	-0.2
		
0.48	-5.8	-0.2
		
0.48	-5.8	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.49	-5.79	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.5	-5.78	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.51	-5.77	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.52	-5.76	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.53	-5.75	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.54	-5.74	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.55	-5.73	-0.2
		
0.56	-5.73	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.56	-5.72	-0.2
		
0.57	-5.71	-0.2
		
0.57	-5.71	-0.2
		
0.57	-5.71	-0.2
		
0.57	-5.71	-0.2
		
0.57	-5.71	-0.2
		
0.57	-5.71	-0.2
		
0.58	-5.71	-0.2
		
0.58	-5.71	-0.2
		
0.58	-5.71	-0.2
		
0.58	-5.7	-0.2
		
0.58	-5.7	-0.2
		
0.58	-5.7	-0.2
		
0.58	-5.7	-0.2
		
0.58	-5.7	-0.2
		
0.58	-5.7	-0.2
		
0.59	-5.7	-0.2
		
0.59	-5.7	-0.2
		
0.59	-5.7	-0.2
		
0.59	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.69	-0.2
		
0.6	-5.68	-0.2
		
0.6	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.61	-5.68	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.67	-0.2
		
0.62	-5.66	-0.2
		
0.62	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.63	-5.66	-0.2
		
0.64	-5.65	-0.2
		
0.64	-5.65	-0.2
		
0.64	-5.65	-0.2
		
0.64	-5.65	-0.2
		
0.64	-5.65	-0.2
		
0.64	-5.64	-0.2
		
0.64	-5.64	-0.2
		
0.64	-5.64	-0.2
		
0.64	-5.64	-0.2
		
0.65	-5.64	-0.2
		
0.65	-5.64	-0.2
		
0.65	-5.64	-0.2
		
0.65	-5.64	-0.2
		
0.65	-5.64	-0.2
		
0.65	-5.63	-0.2
		
0.65	-5.63	-0.2
		
0.65	-5.63	-0.2
		
0.65	-5.63	-0.2
		
0.66	-5.63	-0.2
		
0.66	-5.63	-0.2
		
0.66	-5.63	-0.2
		
0.66	-5.63	-0.2
		
0.66	-5.63	-0.2
		
0.66	-5.63	-0.2
		
0.66	-5.62	-0.2
		
0.66	-5.62	-0.2
		
0.66	-5.62	-0.2
		
0.67	-5.62	-0.2
		
0.67	-5.62	-0.2
		
0.67	-5.62	-0.2
		
0.67	-5.61	-0.2
		
0.67	-5.61	-0.2
		
0.67	-5.61	-0.2
		
0.67	-5.61	-0.2
		
0.67	-5.61	-0.2
		
0.67	-5.61	-0.2
		
0.68	-5.61	-0.2
		
0.68	-5.61	-0.2
		
0.68	-5.61	-0.2
		
0.68	-5.61	-0.2
		
0.68	-5.6	-0.2
		
0.68	-5.6	-0.2
		
0.68	-5.6	-0.2
		
0.68	-5.6	-0.2
		
0.68	-5.6	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.69	-5.59	-0.2
		
0.7	-5.59	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.7	-5.58	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.71	-5.57	-0.2
		
0.72	-5.57	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.72	-5.56	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.73	-5.55	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.74	-5.54	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.75	-5.53	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.76	-5.52	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.77	-5.51	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.78	-5.5	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.79	-5.49	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.8	-5.48	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.81	-5.47	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.82	-5.46	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.83	-5.45	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.84	-5.44	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.85	-5.43	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.86	-5.42	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.87	-5.41	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.88	-5.4	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.89	-5.39	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.9	-5.38	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.91	-5.37	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.92	-5.36	-0.2
		
0.93	-5.36	-0.2
		
0.93	-5.36	-0.2
		
0.93	-5.36	-0.2
		
0.93	-5.35	-0.2
		
0.93	-5.35	-0.2
		
0.93	-5.35	-0.2
		
0.93	-5.35	-0.2
		
0.93	-5.35	-0.2
		
0.93	-5.35	-0.2
		
0.94	-5.35	-0.2
		
0.94	-5.35	-0.2
		
0.94	-5.35	-0.2
		
0.94	-5.35	-0.2
		
0.94	-5.35	-0.2
		
0.94	-5.35	-0.2
		
0.94	-5.34	-0.2
		
0.94	-5.34	-0.2
		
0.94	-5.34	-0.2
		
0.95	-5.34	-0.2
		
0.95	-5.34	-0.2
		
0.95	-5.34	-0.2
		
0.95	-5.33	-0.2
		
0.95	-5.33	-0.2
		
0.95	-5.33	-0.2
		
0.95	-5.33	-0.2
		
0.95	-5.33	-0.2
		
0.95	-5.33	-0.2
		
0.96	-5.33	-0.2
		
0.96	-5.33	-0.2
		
